course_name,level,cutoff_atar,award_type,provider,duration,field_of_education,campus
Associate Degree in General Studies (C2B),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Management & Commerce n.e.c.,Launceston TAS
Associate Degree in Health Sciences,Undergraduate,N/A,Associate Degree,Bond University,2 years,Other Health,Bond University QLD
Associate Degree in Inclusive Education and Disability Studies,Undergraduate,N/A,Associate Degree,Australian Catholic University,2 years,Teacher Education: Special Education,STRATHFIELD NSW
Associate Degree in Indigenous Community Health,Undergraduate,N/A,Associate Degree,Curtin University of Technology,2 years,Indigenous Health,Bentley Campus WA
Associate Degree in Indigenous Community Management and Development,Undergraduate,N/A,Associate Degree,Curtin University of Technology,2 years,Indigenous,Bentley Campus WA
Associate Degree in Indigenous Education,Undergraduate,N/A,Associate Degree,Australian Catholic University,2 years,Teacher Education n.e.c.,STRATHFIELD NSW
Associate Degree in Information & Communication Technology (72T),Undergraduate,65.00,Associate Degree,University of Tasmania,2 years,Information Technology n.e.c.,Launceston TAS
Associate Degree in Information & Communication Technology (72T),Undergraduate,65.00,Associate Degree,University of Tasmania,2 years,Information Technology n.e.c.,Hobart TAS
Associate Degree in Information Technology,Undergraduate,N/A,Associate Degree,University of South Australia,2 years,Computer Science,Mawson Lakes SA
Associate Degree in Languages and Culture Studies,Undergraduate,75.30,Associate Degree,University of South Australia,1 year,Language & Literature,Magill SA
Associate Degree in Law (Paralegal Studies),Undergraduate,63.00,Associate Degree,Southern Cross University,2 years,Justice & Law Enforcement,Gold Coast QLD
Associate Degree in Law (Paralegal Studies),Undergraduate,63.00,Associate Degree,Southern Cross University,2 years,Justice & Law Enforcement,Lismore NSW
Associate Degree in Law (Paralegal Studies),Undergraduate,63.00,Associate Degree,Southern Cross University,2 years,Justice & Law Enforcement,Distance Education
ASSOCIATE DEGREE IN LEGAL STUDIES,Undergraduate,77.75,Associate Degree,Charles Darwin University,2 years,Legal Studies,CASUARINA NT
ASSOCIATE DEGREE IN LEGAL STUDIES,Undergraduate,77.75,Associate Degree,Charles Darwin University,2 years,Legal Studies,DISTANCE EDUCATION
ASSOCIATE DEGREE IN LOGISTICS,Undergraduate,49.85,Associate Degree,Victoria University,2 years,Economics,City Flinders VIC
ASSOCIATE DEGREE IN LOGISTICS,Undergraduate,N/A,Associate Degree,Victoria University,2 years,Economics,Footscray Nicholson VIC
Associate Degree in Maritime and Logistics Management (J2B),Undergraduate,60.00,Associate Degree,University of Tasmania,2 years,Business & Management,Launceston TAS
Associate Degree in Medical Laboratory Science,Undergraduate,68.45,Associate Degree,University of the Sunshine Coast,2 years,Medical Science,Sippy Downs QLD
Associate Degree in Music Studies (F2Q),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Music,Hobart TAS
Associate Degree in Policing Practice,Undergraduate,N/A,Associate Degree,Charles Sturt University,2 years,Police Studies,Goulburn NSW
Associate Degree in Policing Practice,Undergraduate,N/A,Associate Degree,Charles Sturt University,2 years,Police Studies,Distance Education
ASSOCIATE DEGREE IN PROCESS ENGINEERING,Undergraduate,73.15,Associate Degree,Charles Darwin University,2 years,Engineering & Related Technologies n.e.c.,CASUARINA NT
ASSOCIATE DEGREE IN PROCESS ENGINEERING,Undergraduate,73.15,Associate Degree,Charles Darwin University,2 years,Engineering & Related Technologies n.e.c.,DISTANCE EDUCATION
Associate Degree in Real Estate,Undergraduate,N/A,Associate Degree,Bond University,1.5 years,Real Estate,Bond University QLD
Associate Degree in Science,Undergraduate,53.70,Associate Degree,University of the Sunshine Coast,2 years,Natural & Physical Sciences n.e.c.,Sippy Downs QLD
Associate Degree in Science (S2G),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Other Natural & Physical Sciences,Launceston TAS
Associate Degree in Science (S2G),Undergraduate,N/A,Associate Degree,University of Tasmania,2 years,Other Natural & Physical Sciences,Hobart TAS
Associate Degree in Sustainable Development,Undergraduate,N/A,Associate Degree,Bond University,1.5 years,Business & Management n.e.c.,Bond University QLD
Associate Degree in Training and Assessment,Undergraduate,N/A,Associate Degree,Federation University Australia,2 years,Teacher Education: Vocational Education & Training,Mt Helen VIC
Associate Degree of Advertising,Undergraduate,N/A,Associate Degree,Federation University Australia,2 years,Advertising,Ballarat VIC
Associate Degree of Allied Health,Undergraduate,45.00,Associate Degree,Southern Cross University,2 years,Rehabilitation Therapies nec,Gold Coast QLD
ASSOCIATE DEGREE OF APPLIED INFORMATION AND COMMUNICATION TECHNOLOGY,Undergraduate,N/A,Associate Degree,Swinburne University of Technology,2 years,Information Systems,Hawthorn VIC
Associate Degree of Arts,Undergraduate,45.00,Associate Degree,Southern Cross University,2 years,Communication & Media Studies n.e.c.,Gold Coast QLD
Associate Degree of Arts,Undergraduate,45.00,Associate Degree,Southern Cross University,2 years,Communication & Media Studies n.e.c.,Coffs Harbour NSW
Associate Degree of Arts,Undergraduate,45.00,Associate Degree,Southern Cross University,2 years,Communication & Media Studies n.e.c.,Distance Education
"ASSOCIATE DEGREE OF ARTS, BUSINESS AND SCIENCES",Undergraduate,N/A,Associate Degree,Deakin University,2 years,Education n.e.c.,GEELONG VIC
"ASSOCIATE DEGREE OF ARTS, BUSINESS AND SCIENCES",Undergraduate,N/A,Associate Degree,Deakin University,2 years,Education n.e.c.,WARRNAMBOOL VIC
"ASSOCIATE DEGREE OF ARTS, BUSINESS AND SCIENCES",Undergraduate,N/A,Associate Degree,Deakin University,2 years,Education n.e.c.,WARRNAMBOOL VIC
ASSOCIATE DEGREE OF AVIATION,Undergraduate,N/A,Associate Degree,Swinburne University of Technology,1.5 years,Aerospace Engineering & Technology n.e.c.,Hawthorn VIC
Associate Degree of Business,Undergraduate,45.00,Associate Degree,Southern Cross University,2 years,Business & Management n.e.c.,Gold Coast QLD
Associate Degree of Business,Undergraduate,45.00,Associate Degree,Southern Cross University,2 years,Business & Management n.e.c.,Lismore NSW
Associate Degree of Business,Undergraduate,45.00,Associate Degree,Southern Cross University,2 years,Business & Management n.e.c.,Coffs Harbour NSW
Associate Degree of Business,Undergraduate,45.00,Associate Degree,Southern Cross University,2 years,Business & Management n.e.c.,Distance Education
Associate Degree of Business,Undergraduate,,Associate Degree,University of Southern Queensland,2 years,Business & Management,TOOWOOMBA QLD
Associate Degree of Business,Undergraduate,,Associate Degree,University of Southern Queensland,2 years,Business & Management,Fraser Coast QLD
Associate Degree of Business,Undergraduate,,Associate Degree,University of Southern Queensland,2 years,Business & Management,SPRINGFIELD QLD
Associate Degree of Business,Undergraduate,,Associate Degree,University of Southern Queensland,2 years,Business & Management,DISTANCE EDUCATION
ASSOCIATE DEGREE OF BUSINESS ADMINISTRATION,Undergraduate,N/A,Associate Degree,Swinburne University of Technology,2 years,Business & Management,Hawthorn VIC
Associate Degree of Construction,Undergraduate,,Associate Degree,University of Southern Queensland,2 years,Building,TOOWOOMBA QLD
Associate Degree of Construction,Undergraduate,,Associate Degree,University of Southern Queensland,2 years,Building,SPRINGFIELD QLD
Associate Degree of Construction,Undergraduate,,Associate Degree,University of Southern Queensland,2 years,Building,DISTANCE EDUCATION
Associate Degree of Creative Writing,Undergraduate,63.00,Associate Degree,Southern Cross University,2 years,Written Communication,Lismore NSW
Associate Degree of Creative Writing,Undergraduate,63.00,Associate Degree,Southern Cross University,2 years,Written Communication,Distance Education
Associate Degree of Engineering,Undergraduate,,Associate Degree,University of Southern Queensland,2 years,Engineering & Related Technologies n.e.c.,TOOWOOMBA QLD
Associate Degree of Engineering,Undergraduate,,Associate Degree,University of Southern Queensland,2 years,Engineering & Related Technologies n.e.c.,SPRINGFIELD QLD
Associate Degree of Engineering,Undergraduate,,Associate Degree,University of Southern Queensland,2 years,Engineering & Related Technologies n.e.c.,DISTANCE EDUCATION
"Associate Degree of Event, Sport and Recreation Management",Undergraduate,55.00,Associate Degree,Edith Cowan University,2 years,Business & Management,JOONDALUP WA
Associate Degree of Health,Undergraduate,,Associate Degree,University of Southern Queensland,2 years,Health n.e.c.,TOOWOOMBA QLD
Associate Degree of Health,Undergraduate,,Associate Degree,University of Southern Queensland,2 years,Health n.e.c.,DISTANCE EDUCATION
ASSOCIATE DEGREE OF HEALTH AND COMMUNITY CARE,Undergraduate,N/A,Associate Degree,Swinburne University of Technology,2 years,Studies in Human Society,Hawthorn VIC
Associate Degree of Hospitality and Tourism Management,Undergraduate,55.05,Associate Degree,Edith Cowan University,2 years,Business & Management,JOONDALUP WA
Associate Degree of Information Technology,Undergraduate,N/A,Associate Degree,Federation University Australia,2 years,Information Technology n.e.c.,Mt Helen VIC
Associate Degree of Information Technology,Undergraduate,65.00,Associate Degree,Southern Cross University,2 years,Information Systems n.e.c.,Coffs Harbour NSW
Associate Degree of Information Technology,Undergraduate,65.00,Associate Degree,Southern Cross University,2 years,Information Systems n.e.c.,Distance Education
Associate Degree of International Hospitality Management,Undergraduate,N/A,Associate Degree,Federation University Australia,2 years,Hospitality Management,Ballarat VIC
Associate Degree of Justice Studies,Undergraduate,68.00,Associate Degree,University of Canberra,2 years,Justice Administration,Bruce ACT
Associate Degree of Science,Undergraduate,45.00,Associate Degree,Southern Cross University,2 years,Natural & Physical Sciences n.e.c.,Lismore NSW
Associate Degree of Science,Undergraduate,45.00,Associate Degree,Southern Cross University,2 years,Natural & Physical Sciences n.e.c.,Distance Education
Associate Degree of Spatial Science,Undergraduate,,Associate Degree,University of Southern Queensland,2 years,Engineering & Related Technologies n.e.c.,TOOWOOMBA QLD
Associate Degree of Spatial Science,Undergraduate,,Associate Degree,University of Southern Queensland,2 years,Engineering & Related Technologies n.e.c.,DISTANCE EDUCATION
B Accident Forensics,Undergraduate,65.80,Bachelor's Pass,Central Queensland University,3 years,Occupational Health & Safety,Bundaberg QLD
B Accident Forensics,Undergraduate,65.80,Bachelor's Pass,Central Queensland University,3 years,Occupational Health & Safety,Rockhampton QLD
B Accident Forensics,Undergraduate,65.80,Bachelor's Pass,Central Queensland University,3 years,Occupational Health & Safety,Distance Ed
B Accounting,Undergraduate,53.70,Bachelor's Pass,Central Queensland University,3 years,Accounting (Detailed),Brisbane QLD
B Accounting,Undergraduate,53.70,Bachelor's Pass,Central Queensland University,3 years,Accounting (Detailed),Bundaberg QLD
B Accounting,Undergraduate,53.70,Bachelor's Pass,Central Queensland University,3 years,Accounting (Detailed),Emerald QLD
B Accounting,Undergraduate,53.70,Bachelor's Pass,Central Queensland University,3 years,Accounting (Detailed),Gladstone QLD
B Accounting,Undergraduate,53.70,Bachelor's Pass,Central Queensland University,3 years,Accounting (Detailed),Mackay QLD
B Accounting,Undergraduate,53.70,Bachelor's Pass,Central Queensland University,3 years,Accounting (Detailed),Melbourne VIC
B Accounting,Undergraduate,53.70,Bachelor's Pass,Central Queensland University,3 years,Accounting (Detailed),Pomona QLD
B Accounting,Undergraduate,53.70,Bachelor's Pass,Central Queensland University,3 years,Accounting (Detailed),Rockhampton QLD
B Accounting,Undergraduate,53.70,Bachelor's Pass,Central Queensland University,3 years,Accounting (Detailed),Sydney NSW
B Accounting,Undergraduate,53.70,Bachelor's Pass,Central Queensland University,3 years,Accounting (Detailed),Distance Ed
B Acct/B Bus,Undergraduate,53.70,Bachelor's Pass,Central Queensland University,4 years,"Accounting (Detailed), Information Systems",Brisbane QLD
G Dip Psych,Postgraduate,,Graduate Diploma - extending,Central Queensland University,2 years,Psychology,Rockhampton QLD
G Dip Psych,Postgraduate,,Graduate Diploma - extending,Central Queensland University,2 years,Psychology,Distance Ed
G.Dip in Biostatistics,Postgraduate,,Graduate Diploma - new area,The University of Adelaide,1 year,Health n.e.c.,Adelaide SA
GC App Japanese Linguistics,Postgraduate,,Graduate Certificate,The Australian National University,0.5 years,Language & Literature,Acton ACT
GC Archaeological Practice,Postgraduate,,Graduate Certificate,The Australian National University,0.5 years,Archaeology,Acton ACT
GC Archaeological Science,Postgraduate,,Graduate Certificate,The Australian National University,0.5 years,Archaeology,Acton ACT
GC Archaeological Studies,Postgraduate,,Graduate Certificate,The Australian National University,0.5 years,Archaeology,Acton ACT
GC Asset & Maint Management,Postgraduate,,Graduate Certificate,Central Queensland University,1 year,Mechanical Engineering,Distance Ed
GC Biological Anthropology,Postgraduate,,Graduate Certificate,The Australian National University,0.5 years,Human Biology,Acton ACT
GC Biotech(Clinical Microbiol),Postgraduate,,Graduate Certificate,RMIT University,0.5 years,Microbiology,Bundoora Campus VIC
GC Creative Industries,Postgraduate,,Graduate Certificate,Central Queensland University,0.5 years,Performing Arts n.e.c.,Pomona QLD
GC Creative Industries,Postgraduate,,Graduate Certificate,Central Queensland University,0.5 years,Performing Arts n.e.c.,Distance Ed
